Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
1/22/2020,Trinidad and Tobago,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Tunisia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Turkey,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,US,1,NaN,NaN,1,NaN,NaN,NaN,Americas
1/22/2020,Uganda,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Ukraine,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,United Arab Emirates,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,United Kingdom,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Uruguay,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Uzbekistan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/22/2020,Venezuela,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/22/2020,Vietnam,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/22/2020,West Bank and Gaza,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Western Sahara,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Yemen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/22/2020,Zambia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/22/2020,Zimbabwe,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Afghanistan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/23/2020,Albania,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Algeria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Andorra,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Angola,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Antigua and Barbuda,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Argentina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Armenia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Australia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/23/2020,Austria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Azerbaijan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Bahamas,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Bahrain,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/23/2020,Bangladesh,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/23/2020,Barbados,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Belarus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Belgium,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Belize,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Benin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Bhutan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/23/2020,Bolivia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Bosnia and Herzegovina,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Botswana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Brazil,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Brunei,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/23/2020,Bulgaria,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Burkina Faso,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Burma,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/23/2020,Burundi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Cabo Verde,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Cambodia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/23/2020,Cameroon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Canada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Central African Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Chad,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Chile,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,China,643,18,30,595,95,1,2,Western Pacific
1/23/2020,Colombia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Comoros,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Congo (Brazzaville),NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Congo (Kinshasa),NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Costa Rica,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Cote d'Ivoire,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Croatia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Cuba,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Cyprus,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Czechia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Denmark,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Djibouti,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/23/2020,Dominica,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Dominican Republic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Ecuador,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Egypt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/23/2020,El Salvador,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Equatorial Guinea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Eritrea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Estonia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Eswatini,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Ethiopia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Fiji,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/23/2020,Finland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,France,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Gabon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Gambia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Georgia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Germany,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Ghana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Greece,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Greenland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Grenada,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Guatemala,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Guinea,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Guinea-Bissau,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Guyana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Haiti,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Holy See,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Honduras,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Hungary,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Iceland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,India,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/23/2020,Indonesia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,South-East Asia
1/23/2020,Iran,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/23/2020,Iraq,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/23/2020,Ireland,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Israel,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Italy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Jamaica,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Americas
1/23/2020,Japan,2,NaN,NaN,2,NaN,NaN,NaN,Western Pacific
1/23/2020,Jordan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/23/2020,Kazakhstan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Kenya,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Africa
1/23/2020,Kosovo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Kuwait,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
1/23/2020,Kyrgyzstan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Laos,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Western Pacific
1/23/2020,Latvia,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Europe
1/23/2020,Lebanon,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Eastern Mediterranean
